Timestamp,Endpoint,Industry_ID,Alert_Level,Confidence,Response_Time,Status,Error
2026-02-12 10:00:34,/api/predict,,,,0.139s,error,"Prediction failed: ""['Fuel_Type'] not in index"""
2026-02-12 10:00:36,/api/predict,,,,0.077s,error,"Prediction failed: ""['Fuel_Type'] not in index"""
2026-02-12 10:00:37,/api/predict,,,,0.079s,error,"Prediction failed: ""['Fuel_Type'] not in index"""
2026-02-12 10:02:18,/api/predict,,,,0.033s,error,Prediction failed: Missing required columns: Fuel_Type
2026-02-12 10:10:59,/api/predict,,,,0.106s,error,"Prediction failed: feature_names mismatch: ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas'] ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'CO2_Lag_1', 'SO2_Lag_1', 'BOD_Lag_1', 'COD_Lag_1', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas']
training data did not have the following fields: COD_Lag_1, SO2_Lag_1, BOD_Lag_1, CO2_Lag_1"
2026-02-12 10:11:29,/api/predict,,,,0.105s,error,"Prediction failed: feature_names mismatch: ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas'] ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'CO2_Lag_1', 'SO2_Lag_1', 'BOD_Lag_1', 'COD_Lag_1', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas']
training data did not have the following fields: COD_Lag_1, SO2_Lag_1, BOD_Lag_1, CO2_Lag_1"
2026-02-12 10:17:18,/api/predict,,,,0.115s,error,"Prediction failed: feature_names mismatch: ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas'] ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'CO2_Lag_1', 'SO2_Lag_1', 'BOD_Lag_1', 'COD_Lag_1', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas']
training data did not have the following fields: BOD_Lag_1, SO2_Lag_1, COD_Lag_1, CO2_Lag_1"
2026-02-12 10:18:06,/api/predict,,,,0.098s,error,"Prediction failed: feature_names mismatch: ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas'] ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'CO2_Lag_1', 'SO2_Lag_1', 'BOD_Lag_1', 'COD_Lag_1', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas']
training data did not have the following fields: BOD_Lag_1, SO2_Lag_1, COD_Lag_1, CO2_Lag_1"
2026-02-12 10:18:09,/api/predict,,,,0.070s,error,"Prediction failed: feature_names mismatch: ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas'] ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'CO2_Lag_1', 'SO2_Lag_1', 'BOD_Lag_1', 'COD_Lag_1', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas']
training data did not have the following fields: BOD_Lag_1, SO2_Lag_1, COD_Lag_1, CO2_Lag_1"
2026-02-12 10:18:59,/api/predict,,,,0.070s,error,"Prediction failed: feature_names mismatch: ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas'] ['Industry_ID', 'Production_Volume', 'Capacity_Utilization', 'Operating_Hours', 'Equipment_Age', 'Scrubber_Installed', 'Past_Violation_Count', 'Inspection_Frequency', 'Penalty_Last_Year', 'Audit_Score', 'Temperature', 'Humidity', 'Wind_Speed', 'Rainfall', 'CO2_Lag_1', 'SO2_Lag_1', 'BOD_Lag_1', 'COD_Lag_1', 'Industry_Type_Chemical', 'Industry_Type_Pharma', 'Industry_Type_Steel', 'Industry_Type_Textile', 'Fuel_Type_Diesel', 'Fuel_Type_Gas']
training data did not have the following fields: BOD_Lag_1, SO2_Lag_1, COD_Lag_1, CO2_Lag_1"
